"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2660","Login, Add Items back","production","Thu Nov 07 21:04:11 EET 2024","passed","Thu Nov 07 21:04:14 EET 2024","Demo Tests","first.spec.ts","",""
"","3261","Screen full","staging","Thu Nov 07 21:04:02 EET 2024","passed","Thu Nov 07 21:04:05 EET 2024","Screens","scren.spec.ts","",""
"","5896","has title","staging","Thu Nov 07 21:03:55 EET 2024","passed","Thu Nov 07 21:04:01 EET 2024","","example.spec.ts","",""
"","5829","Login, Add Items","staging","Thu Nov 07 21:03:55 EET 2024","passed","Thu Nov 07 21:04:01 EET 2024","Demo Tests","first.spec.ts","",""
"","3881","done avtoriz","staging","Thu Nov 07 21:03:55 EET 2024","passed","Thu Nov 07 21:03:59 EET 2024","","component.spec.ts","",""
"","2890","done avtoriz","production","Thu Nov 07 21:04:07 EET 2024","passed","Thu Nov 07 21:04:10 EET 2024","","component.spec.ts","",""
"","3554","Login, Add Items back","development","Thu Nov 07 21:03:49 EET 2024","passed","Thu Nov 07 21:03:53 EET 2024","Demo Tests","first.spec.ts","",""
"","3689","test","production","Thu Nov 07 21:04:08 EET 2024","passed","Thu Nov 07 21:04:12 EET 2024","","codgen.spec.ts","",""
"","5071","get started link","development","Thu Nov 07 21:03:43 EET 2024","passed","Thu Nov 07 21:03:48 EET 2024","","example.spec.ts","",""
"","5734","Тест логіну з використанням конфігурації середовища","staging","Thu Nov 07 21:03:55 EET 2024","passed","Thu Nov 07 21:04:00 EET 2024","","envs.spec.ts","",""
"","5306","has title","development","Thu Nov 07 21:03:43 EET 2024","passed","Thu Nov 07 21:03:49 EET 2024","","example.spec.ts","",""
"","5356","Login, Add Items","production","Thu Nov 07 21:04:09 EET 2024","passed","Thu Nov 07 21:04:15 EET 2024","Demo Tests","first.spec.ts","",""
"","5249","Тест логіну з використанням конфігурації середовища","production","Thu Nov 07 21:04:08 EET 2024","passed","Thu Nov 07 21:04:14 EET 2024","","envs.spec.ts","",""
"","3176","Screen form","development","Thu Nov 07 21:03:50 EET 2024","passed","Thu Nov 07 21:03:53 EET 2024","Screens","scren.spec.ts","",""
"","2414","done avtoriz","staging","Thu Nov 07 21:04:01 EET 2024","passed","Thu Nov 07 21:04:03 EET 2024","","pomauth.spec.ts","",""
"","3423","Login, Add Items back new","staging","Thu Nov 07 21:03:59 EET 2024","passed","Thu Nov 07 21:04:03 EET 2024","Demo Tests","first.spec.ts","",""
"","2495","done avtoriz","production","Thu Nov 07 21:04:14 EET 2024","passed","Thu Nov 07 21:04:17 EET 2024","","pomauth.spec.ts","",""
"","6468","get started link","staging","Thu Nov 07 21:03:55 EET 2024","passed","Thu Nov 07 21:04:01 EET 2024","","example.spec.ts","",""
"","3520","Screen full","production","Thu Nov 07 21:04:14 EET 2024","passed","Thu Nov 07 21:04:18 EET 2024","Screens","scren.spec.ts","",""
"","1827","Screen form","staging","Thu Nov 07 21:04:03 EET 2024","passed","Thu Nov 07 21:04:05 EET 2024","Screens","scren.spec.ts","",""
"","2373","Login, Add Items back new","production","Thu Nov 07 21:04:13 EET 2024","passed","Thu Nov 07 21:04:15 EET 2024","Demo Tests","first.spec.ts","",""
"","2734","Login, Add Items back","staging","Thu Nov 07 21:03:58 EET 2024","passed","Thu Nov 07 21:04:01 EET 2024","Demo Tests","first.spec.ts","",""
"","4409","get started link","production","Thu Nov 07 21:04:08 EET 2024","passed","Thu Nov 07 21:04:13 EET 2024","","example.spec.ts","",""
"","5248","Тест логіну з використанням конфігурації середовища","development","Thu Nov 07 21:03:43 EET 2024","passed","Thu Nov 07 21:03:49 EET 2024","","envs.spec.ts","",""
"","2180","Screen form","production","Thu Nov 07 21:04:15 EET 2024","passed","Thu Nov 07 21:04:17 EET 2024","Screens","scren.spec.ts","",""
"","3266","test","staging","Thu Nov 07 21:03:54 EET 2024","passed","Thu Nov 07 21:03:57 EET 2024","","codgen.spec.ts","",""
"","3223","done avtoriz","development","Thu Nov 07 21:03:49 EET 2024","passed","Thu Nov 07 21:03:53 EET 2024","","pomauth.spec.ts","",""
"","5248","test","development","Thu Nov 07 21:03:43 EET 2024","passed","Thu Nov 07 21:03:49 EET 2024","","codgen.spec.ts","",""
"","5163","Login, Add Items","development","Thu Nov 07 21:03:43 EET 2024","passed","Thu Nov 07 21:03:49 EET 2024","Demo Tests","first.spec.ts","",""
"","3631","Screen full","development","Thu Nov 07 21:03:49 EET 2024","failed","Thu Nov 07 21:03:53 EET 2024","Screens","scren.spec.ts","",""
"","3322","Login, Add Items back new","development","Thu Nov 07 21:03:49 EET 2024","passed","Thu Nov 07 21:03:53 EET 2024","Demo Tests","first.spec.ts","",""
"","5449","done avtoriz","development","Thu Nov 07 21:03:43 EET 2024","passed","Thu Nov 07 21:03:49 EET 2024","","component.spec.ts","",""
"","4605","has title","production","Thu Nov 07 21:04:08 EET 2024","passed","Thu Nov 07 21:04:13 EET 2024","","example.spec.ts","",""
